agent_id,episode_id,step,price,quantity,capital,costs,profit,revenue,demand_for_price,sold_units,leftover_units,classification_accuracy,regression_error_value,supervision_reward_factor,reward,action
0,1,1,1.970338397691064,3.0,,1,2.911015,5.911015193073192,2.9661602308935926,0,0,0,1,1.0,2.911015,42
1,1,1,0.4816173909384442,96.0,,1,-49.764732,46.23526953009064,151.8382609061556,0,0,0,1,1.0,-49.764732,3
2,1,1,1.3704661890378842,52.0,,1,19.264244,71.26424182996998,62.95338109621159,0,0,0,1,1.0,19.264244,37
0,1,2,2.702906172394482,0.0,,1,0.0,0,0.0,0,0,0,1,1.0,0.0,45
1,1,2,1.0198568433308806,69.0,,1,1.3701248,70.37012218983075,98.01431566691194,0,0,0,1,1.0,1.3701248,36
2,1,2,1.6092160141558194,29.0,,1,17.667263,46.66726441051876,39.07839858441807,0,0,0,1,1.0,17.667263,28
0,1,3,2.9339175834054165,0.0,,1,0.0,0,0.0,0,0,0,1,1.0,0.0,39
1,1,3,1.300317045873391,53.0,,1,15.916801,68.91680343128972,69.9682954126609,0,0,0,1,1.0,15.916801,18
2,1,3,1.7311799915002115,16.0,,1,11.698879,27.698879864003384,26.88200084997885,0,0,0,1,1.0,11.698879,15
0,1,4,2.9500670310068515,0.0,,1,0.0,0,0.0,0,0,0,1,1.0,0.0,18
1,1,4,1.5223021254827487,37.0,,1,19.32518,56.3251786428617,47.769787451725136,0,0,0,1,1.0,19.32518,20
2,1,4,1.8447516015741756,10.0,,1,8.4475155,18.447516015741755,15.524839842582452,0,0,0,1,1.0,8.4475155,16
0,1,5,3.135920765519638,0.0,,1,0.0,0,0.0,0,0,0,1,1.0,0.0,38
1,1,5,1.542879785563685,37.0,,1,20.086552,57.086552065856345,45.7120214436315,0,0,0,1,1.0,20.086552,10
2,1,5,1.841128771446824,8.0,,1,6.7290306,14.729030171574593,15.887122855317585,0,0,0,1,1.0,6.7290306,11
0,1,6,2.773894663506336,0.0,,1,0.0,0,0.0,0,0,0,1,1.0,0.0,7
1,1,6,1.5936525196371705,40.0,,1,23.746101,63.74610078548682,40.63474803628296,0,0,0,1,1.0,23.746101,11
2,1,6,2.009280190656545,0.0,,1,0.0,0,0.0,0,0,0,1,1.0,0.0,30
0,1,7,3.240311039493377,0.0,,1,0.0,0,0.0,0,0,0,1,1.0,0.0,43
1,1,7,1.7889976400581153,21.0,,1,16.56895,37.56895044122042,21.100235994188466,0,0,0,1,1.0,16.56895,27
2,1,7,2.3314100309590478,0.0,,1,0.0,0,0.0,0,0,0,1,1.0,0.0,40
0,1,8,4.285511789381033,0.0,,1,0.0,0,0.0,0,0,0,1,1.0,0.0,47
1,1,8,1.969436962321487,3.0,,1,2.908311,5.908310886964461,3.0563037678513183,0,0,0,1,1.0,2.908311,31
2,1,8,2.341587765799341,0.0,,1,0.0,0,0.0,0,0,0,1,1.0,0.0,14
0,1,9,3.0480192658764835,0.0,,1,0.0,0,0.0,0,0,0,1,1.0,0.0,2
1,1,9,2.089122674082381,0.0,,1,0.0,0,0.0,0,0,0,1,1.0,0.0,23
2,1,9,1.8495373468612077,15.0,,1,12.743061,27.743060202918116,15.046265313879218,0,0,0,1,1.0,12.743061,5
0,1,10,2.141634892989342,0.0,,1,0.0,0,0.0,0,0,0,1,1.0,0.0,3
1,1,10,2.232713392566391,0.0,,1,0.0,0,0.0,0,0,0,1,1.0,0.0,31
2,1,10,2.028212275209951,0.0,,1,0.0,0,0.0,0,0,0,1,1.0,0.0,32
0,1,11,0.7664700892727724,115.0,,1,-26.855942,88.14406026636883,123.35299107272276,0,0,0,1,1.0,-26.855942,0
1,1,11,3.857865537049151,0.0,,1,0.0,0,0.0,0,0,0,1,1.0,0.0,49
2,1,11,1.9600965891487372,8.0,,1,7.680773,15.680772713189898,3.990341085126289,0,0,0,1,1.0,7.680773,10
0,1,12,1.0033052627991808,66.0,,1,0.21814728,66.21814734474593,99.66947372008192,0,0,0,1,1.0,0.21814728,10
1,1,12,3.8492350674386664,0.0,,1,0.0,0,0.0,0,0,0,1,1.0,0.0,19
2,1,12,1.5385654243568716,33.0,,1,17.77266,50.772659003776766,46.143457564312826,0,0,0,1,1.0,17.77266,5
0,1,13,1.159665544994208,50.0,,1,7.9832764,57.9832772497104,84.0334455005792,0,0,0,1,1.0,7.9832764,10
1,1,13,3.8703074962630715,0.0,,1,0.0,0,0.0,0,0,0,1,1.0,0.0,25
2,1,13,0.48881230111899376,101.0,,1,-51.62996,49.37004241301837,151.11876988810062,0,0,0,1,1.0,-51.62996,0
0,1,14,1.377402560602721,40.0,,1,15.096104,55.096102424108835,62.25974393972791,0,0,0,1,1.0,15.096104,15
1,1,14,3.9099449326998665,0.0,,1,0.0,0,0.0,0,0,0,1,1.0,0.0,29
2,1,14,1.7179182413445273,22.0,,1,15.794201,37.7942013095796,28.208175865547275,0,0,0,1,1.0,15.794201,47
0,1,15,1.6939054828987423,12.0,,1,8.326866,20.326865794784908,30.609451710125768,0,0,0,1,1.0,8.326866,37
1,1,15,3.791347246626731,0.0,,1,0.0,0,0.0,0,0,0,1,1.0,0.0,12
2,1,15,1.6555988150654433,22.0,,1,14.423176,36.42317393143975,34.440118493455685,0,0,0,1,1.0,14.423176,9
0,1,16,1.84627873057943,4.0,,1,3.3851151,7.38511492231772,15.372126942057008,0,0,0,1,1.0,3.3851151,21
1,1,16,3.952168563062968,0.0,,1,0.0,0,0.0,0,0,0,1,1.0,0.0,38
2,1,16,1.7815038274999113,17.0,,1,13.285564,30.285565067498492,21.849617250008862,0,0,0,1,1.0,13.285564,16
0,1,17,1.4502986540734781,43.0,,1,19.362843,62.36284212515956,54.97013459265219,0,0,0,1,1.0,19.362843,5
1,1,17,3.925208208155528,0.0,,1,0.0,0,0.0,0,0,0,1,1.0,0.0,17
2,1,17,1.945691031575476,11.0,,1,10.402601,21.402601347330236,5.430896842452398,0,0,0,1,1.0,10.402601,26
0,1,18,1.7085965082889745,29.0,,1,20.549297,49.54929874038026,29.140349171102542,0,0,0,1,1.0,20.549297,34
1,1,18,3.8062686602441502,0.0,,1,0.0,0,0.0,0,0,0,1,1.0,0.0,12
2,1,18,2.179161744783549,0.0,,1,0.0,0,0.0,0,0,0,1,1.0,0.0,37
0,1,19,2.3415494867433737,0.0,,1,0.0,0,0.0,0,0,0,1,1.0,0.0,44
1,1,19,3.8184746723247986,0.0,,1,0.0,0,0.0,0,0,0,1,1.0,0.0,24
2,1,19,1.9125113512726462,8.0,,1,7.300091,15.30009081018117,8.748864872735396,0,0,0,1,1.0,7.300091,7
0,1,20,2.3801693126210477,0.0,,1,0.0,0,0.0,0,0,0,1,1.0,0.0,16
1,1,20,3.859177747281737,0.0,,1,0.0,0,0.0,0,0,0,1,1.0,0.0,29
2,1,20,2.0240550702511855,0.0,,1,0.0,0,0.0,0,0,0,1,1.0,0.0,19
0,1,21,2.722393656908228,0.0,,1,0.0,0,0.0,0,0,0,1,1.0,0.0,41
1,1,21,3.9373505419140753,0.0,,1,0.0,0,0.0,0,0,0,1,1.0,0.0,34
2,1,21,1.7818855444581885,21.0,,1,16.419598,37.419596433621955,21.811445554181148,0,0,0,1,1.0,16.419598,7
0,1,22,2.7577713325451754,0.0,,1,0.0,0,0.0,0,0,0,1,1.0,0.0,19
1,1,22,3.966472333514658,0.0,,1,0.0,0,0.0,0,0,0,1,1.0,0.0,26
2,1,22,2.176533503730865,0.0,,1,0.0,0,0.0,0,0,0,1,1.0,0.0,41
0,1,23,2.8098729750593843,0.0,,1,0.0,0,0.0,0,0,0,1,1.0,0.0,24
1,1,23,3.975422127992886,0.0,,1,0.0,0,0.0,0,0,0,1,1.0,0.0,24
